# rank	id	score	soft_hallu	soft_object	global_hallu	global_object	count_hallu	count_object
165	554	-0.075425	-0.072369	0.003055	-0.036397	0.007340	2	9
166	334	-0.081689	-0.081689	-0.010218	0.011898	-0.044564	2	6
167	653	-0.091983	-0.091416	0.000567	-0.200643	0.014962	2	19
168	358	-0.097552	-0.097552	-0.028174	-0.079637	-0.014028	2	9
169	864	-0.097799	-0.055542	0.042257	-0.102680	0.102926	2	6
170	227	-0.103202	-0.096148	0.007054	0.018420	0.094071	4	15
171	916	-0.108346	-0.080551	0.027796	-0.059896	0.066015	6	10
172	922	-0.121740	-0.121740	-0.001888	-0.066594	0.115062	2	12
173	14	-0.136292	-0.128624	0.007668	-0.004706	0.062800	2	11
174	120	-0.138312	-0.138312	-0.056559	-0.134722	-0.021296	4	9
175	772	-0.144591	-0.111624	0.032967	-0.005261	0.047976	2	8
176	896	-0.151895	-0.151895	-0.084963	-0.107477	-0.006402	2	5
177	35	-0.188851	-0.155690	0.033161	-0.127174	0.091743	2	4
178	432	-0.196957	-0.002961	0.193996	0.274167	0.354799	2	6
179	807	-0.205939	-0.205939	-0.001989	-0.241411	0.013941	2	17
180	282	-0.208998	-0.208998	-0.014147	-0.042270	0.018652	2	6
181	468	-0.213243	-0.161419	0.051824	-0.153111	0.111933	2	9
182	218	-0.238796	-0.074559	0.164237	-0.037732	0.256077	3	6
183	23	-0.283956	-0.283956	-0.019899	-0.241500	0.006091	2	5
