id,score,n_hallu,n_object,len,g_mean_hallu,g_mean_object,g_mean_other,s_mean_hallu,s_mean_object,s_mean_other,quadrant_global,quadrant_soft,image_file
76,0.15405483254880614,3,11,111,0.05478703727324804,0.0655863650820472,0.10551989929039918,-0.009484507143497467,0.03198587742041458,0.013487140356203584,sledgehammer,bad_both,AMBER_76.jpg
77,-0.12621418320832162,4,16,92,-0.14396211344319454,0.02219450709526427,0.09201905528779106,-0.058238630675987224,-0.008072546748735476,0.011723512894604937,bad_both,bad_hallu,AMBER_77.jpg
78,0.27558817937388086,2,4,118,0.08664601293276064,0.0752717424184084,0.0809132166538039,-0.027098125079646707,-0.03526085056364536,0.012468806461319966,sledgehammer,bad_hallu,AMBER_78.jpg
84,0.5396049686175012,2,13,93,0.3102162629365921,0.1052323369019807,0.09278420421306248,0.06887926161289215,0.041948265527060775,0.01692019526266309,sledgehammer,sledgehammer,AMBER_84.jpg
95,0.2608379706049264,3,9,133,0.018696307927408878,0.12871688273217943,0.0628461835200773,-0.03671852751328212,0.012777091728316413,0.007954179803303207,sledgehammer,bad_both,AMBER_95.jpg
97,-0.12916559065536906,3,6,117,-0.1451804262275497,0.04016398265957832,0.09503702033347744,-0.10222626004057626,0.000656286875406901,0.013936586566732903,bad_both,bad_both,AMBER_97.jpg
98,-0.23165375373944241,12,3,76,-0.01714393386661565,-0.16512098163366318,0.06967250806254194,-0.009331026854473142,-0.12940671543280283,0.007744071804646395,bad_hallu,bad_hallu,AMBER_98.jpg
106,-0.26859138680779976,2,7,87,-0.06741701066493988,-0.11229081595541045,0.10381620307669856,-0.06850728392601013,-0.07818376475604184,0.01035288335527021,bad_hallu,bad_hallu,AMBER_106.jpg
107,0.17575843962607904,4,10,121,0.03328955406323075,0.0488291434943676,0.1563999395427651,0.02455260616261512,-0.014881621301174163,0.031852186927259774,sledgehammer,ideal,AMBER_107.jpg
116,-0.01981803642585874,5,6,108,0.08330432930961251,-0.0619654655456543,0.048605419146305014,0.018968581780791284,-0.01660304268201192,0.011025555806329591,ideal,ideal,AMBER_116.jpg
120,-0.21362192096697374,4,9,127,-0.1347218917817372,-0.021295901015946583,0.0923950295795166,-0.14217949684552877,-0.05623050070143007,0.013000315187478887,bad_hallu,bad_hallu,AMBER_120.jpg
122,0.02165825303523329,4,13,102,-0.08110183708777186,0.06707797992402657,0.08744882262176629,-0.05015775615174789,0.00808419700302483,0.012189813646738698,bad_both,bad_both,AMBER_122.jpg
127,0.10959542724017021,7,10,130,0.05842596473147361,0.039541537314653395,0.09862040975157815,-0.00685397300445142,0.0258534487336874,0.014306742621548574,sledgehammer,bad_both,AMBER_127.jpg
128,0.43288038280284535,2,11,98,0.20382392406463623,0.07419975628991696,0.05568407047163312,0.1100274920463562,0.009335207943381234,0.010289178417073185,sledgehammer,sledgehammer,AMBER_128.jpg
129,0.031367266884106876,2,7,67,0.11543130985228345,-0.04744965583086014,0.16647786386796537,-0.01276086556026712,-0.024381504793252264,0.021230651243905444,ideal,bad_hallu,AMBER_129.jpg
130,-0.2542164636403322,3,5,75,0.07293727435171604,-0.2377801924943924,0.03536502014118122,0.027359671890735626,-0.1473424293100834,0.011446506007570264,ideal,ideal,AMBER_130.jpg
149,1.2392819307827845,2,11,99,0.7931273877620697,0.1622887880109209,0.10780933127826693,0.2422409951686859,0.06704123935115934,0.021707179427446748,sledgehammer,sledgehammer,AMBER_149.jpg
163,0.11640401082700658,7,8,113,-0.01320222054086376,0.04283011499501299,0.04988838576912026,0.05810074046426702,0.004408783288454288,0.001579998236426333,bad_both,sledgehammer,AMBER_163.jpg
172,0.02869588760170576,16,6,120,0.05906324108063643,-0.024566115501026314,0.08490837196652314,0.02683679433825148,-0.004076953822125991,0.012607040491124447,ideal,ideal,AMBER_172.jpg
173,0.18346153013408184,2,6,84,0.25287764240056276,-0.10880218259990215,0.08324699977071616,0.11285536177456379,-0.07579161350925763,0.014660171954203275,ideal,ideal,AMBER_173.jpg
179,1.0416110698471313,2,5,93,0.5204826295375824,0.14392149178893304,0.0836913827920821,0.27513542771339417,-0.009921965812100097,0.0036964115040888806,sledgehammer,ideal,AMBER_179.jpg
185,0.10689722997776699,2,8,89,0.04226481914520264,-0.027864813528140076,0.07418617355160907,0.1145007461309433,-0.03815373191901017,-0.0011466749531826258,ideal,ideal,AMBER_185.jpg
187,0.3648726435777332,3,7,113,0.14025801257230341,0.07299294748476573,0.13918435126505604,0.02417026786133647,-0.03925913253000805,0.021002146582260555,sledgehammer,ideal,AMBER_187.jpg
199,-0.009685642723643612,7,9,121,0.03080292678870527,-0.02637328897718463,0.08260807869003094,-0.019316788238938898,-0.025878681670595444,0.011505935747048905,ideal,bad_hallu,AMBER_199.jpg
202,0.08848223933260284,2,13,110,0.018532127141952515,0.026335973005486197,0.1148141425425389,0.03256094455718994,0.008984741342876882,0.011769226953564565,sledgehammer,sledgehammer,AMBER_202.jpg
206,0.0832618262544808,3,12,106,0.033743848403294883,-0.009116222016018583,0.07216699860938346,-0.015071297685305277,-0.06676964555511707,0.011155609004825257,ideal,bad_hallu,AMBER_206.jpg
209,0.2730520401171155,2,11,125,0.2781202793121338,-0.0012354629500557414,0.058070862019121705,0.04813539981842041,0.030037500481491654,0.005044198676143553,ideal,sledgehammer,AMBER_209.jpg
211,0.29869894120185764,3,18,125,0.073207367832462,0.0732655639754335,0.09657279943501443,0.10087827139068395,0.005256214458364007,0.03044108748910573,sledgehammer,sledgehammer,AMBER_211.jpg
213,0.2909237813825408,3,6,120,0.10533473392327626,0.08287504812081654,0.06374988812314752,0.0028261691331863403,-0.0010713526668647926,0.008968037602412264,sledgehammer,ideal,AMBER_213.jpg
216,0.4258841791894399,4,15,106,0.28324849903583527,0.011132304707704559,0.07914090260751906,0.15845798701047897,-0.00602001574109939,0.008730465341603582,sledgehammer,ideal,AMBER_216.jpg
218,0.2879862795807033,3,6,116,-0.03773196151208443,0.25607651472091675,0.06611454876439604,-0.07918238120813233,0.15185202037294707,0.006663268222065989,bad_both,bad_both,AMBER_218.jpg
222,0.021281299719446586,4,17,76,-0.013252839737106115,0.024072260170428576,0.10803488052816564,-0.017731446190737188,0.005010683820728445,0.010902645153493557,bad_both,bad_both,AMBER_222.jpg
227,0.14639410759690996,4,15,129,0.018419548869132996,0.09407147036884757,0.07614168912180255,-0.09808279573917389,0.008603932555221643,0.011334389099184508,sledgehammer,bad_both,AMBER_227.jpg
231,0.16339244969873107,2,10,124,0.1395827829837799,-0.04918884368162253,0.09955191407350737,0.043911248445510864,-0.08440604075221927,0.012117411440613068,ideal,ideal,AMBER_231.jpg
232,0.21935872889571878,3,11,123,0.09293860237812623,0.042330374160718005,0.08235078335232958,0.0775077249466752,0.017468420082216406,0.011308484467425583,sledgehammer,sledgehammer,AMBER_232.jpg
238,0.18961047510575363,2,19,120,0.03802829229971394,0.07124546365032888,0.066796805543597,0.05644393706461415,0.0372238276415948,0.006601176890975547,sledgehammer,sledgehammer,AMBER_238.jpg
252,0.16283464685379537,3,15,118,0.023550025856820866,0.06516754162154635,0.07709813537529556,0.0034750151389744133,0.005430400973091309,0.00923056257244184,sledgehammer,sledgehammer,AMBER_252.jpg
254,0.2565822490734414,3,16,121,0.13746134471148252,0.04286693604217362,0.08999977913066236,0.03161365042130152,-0.0022367414785549045,0.003888042334890587,sledgehammer,ideal,AMBER_254.jpg
256,0.10248613861913328,5,10,88,0.059869306057225916,0.02218268268625252,0.09331633444810294,0.0075198126898612825,0.009540781858959235,0.019271807511819908,sledgehammer,sledgehammer,AMBER_256.jpg
266,0.16910107316766196,3,9,76,0.08330118475472166,0.04530050833192137,0.030782013790485507,0.044836106540363595,0.037705420412951045,0.00328455567567687,sledgehammer,sledgehammer,AMBER_266.jpg
282,-0.10547040892609705,2,6,132,-0.04226972162723541,0.018651534143524866,0.096129103945391,-0.16482961177825928,-0.00928888819180429,0.012223948697086848,bad_both,bad_hallu,AMBER_282.jpg
286,0.05338589508697625,3,10,83,0.1360673358043035,-0.051542368087393695,0.03867317236602373,-0.025877644618352253,-0.040688433589821216,0.003057511756612387,ideal,bad_hallu,AMBER_286.jpg
289,0.22555913894836652,3,14,120,0.13623555501302084,0.0552929094726226,0.08404275614153554,0.006529192129770915,0.030742709496053067,0.008403430629218923,sledgehammer,sledgehammer,AMBER_289.jpg
292,0.1445934943771555,2,13,102,-0.0085779819637537,0.0639790235669492,0.11162990984627251,0.01690630055963993,-0.00048601175156083907,0.020689855926137944,bad_both,ideal,AMBER_292.jpg
296,0.0660589337348938,2,5,107,0.12787950038909912,-0.09896606206893921,0.09419006850140249,0.09299919009208679,-0.07567111402750015,0.0061893266914376,ideal,ideal,AMBER_296.jpg
297,0.07235872982409174,4,11,125,-0.023152426747401478,0.04685494922291995,0.07796667124193019,-0.005620397572783986,0.0030295445149849084,0.012346711492661845,bad_both,bad_both,AMBER_297.jpg
312,0.009257790593619579,2,8,70,-0.030107592239801306,0.035901160910725594,0.07425218152541978,-0.05708000174854533,-0.0002823583781719208,0.009058601109624457,bad_both,bad_hallu,AMBER_312.jpg
317,0.31034211106865156,6,9,121,0.10582381072345015,0.079318651308616,0.03580892360028918,0.010260886096754499,-0.019028872665431764,0.005115488892104039,sledgehammer,ideal,AMBER_317.jpg
320,0.13393201741661567,2,6,121,0.09642583085224032,-0.025671147818987567,0.0549749729985722,0.04263581050327048,-0.05344803701154888,0.0017053434029090182,ideal,ideal,AMBER_320.jpg
324,-0.07990049851445596,12,5,118,0.022931532240950975,-0.11497964411973953,0.08169484666449994,0.006861192268805401,-0.12110029309988021,0.009861339298823768,ideal,ideal,AMBER_324.jpg
329,-0.06780414653379314,4,12,105,-0.015687506762333214,-0.0301020509408166,0.07106574310112111,-0.02188436532742344,-0.024522440022944163,-0.0007045275897326064,bad_hallu,bad_hallu,AMBER_329.jpg
334,-0.1129823423922062,2,6,67,0.011898051016032696,-0.04456394910812378,0.05155699624835614,-0.06832795776426792,-0.017491554220517475,0.00575033611089643,ideal,bad_hallu,AMBER_334.jpg
336,0.15929566265470688,3,16,110,6.446174423520763e-05,0.07820687841331164,0.04373744761116021,-0.0009199240521411411,0.010149987301929286,-0.00019045222585930958,sledgehammer,bad_both,AMBER_336.jpg
338,0.3675826042271053,2,7,69,0.1418056096881628,0.05202541944994924,0.08798548840083337,0.18947338312864304,0.017758580367496637,0.018749437147804807,sledgehammer,sledgehammer,AMBER_338.jpg
341,-0.014669181654850625,2,6,124,0.05341223627328873,-0.050633332381645836,0.12407311510898172,-0.06452088057994843,-0.07373044143120448,0.016594615148899892,ideal,bad_hallu,AMBER_341.jpg
346,0.1601061040269477,4,7,123,0.11719438061118126,-0.021798176424843923,0.025121429097578942,0.013180594891309738,-0.06803441260542188,0.0005290927328677039,ideal,ideal,AMBER_346.jpg
348,0.19906568929054627,2,16,136,0.056954389496240765,0.03618388110135129,0.07535947416027292,0.06591953063616529,-0.013635908271680819,0.011394330078328532,sledgehammer,ideal,AMBER_348.jpg
350,-0.005703305371009094,3,11,109,0.03384036799373765,-0.02169247386138357,0.08681480157826484,-0.00889072327966763,-0.012002729521720374,0.01813423416284949,ideal,bad_hallu,AMBER_350.jpg
354,0.12171275293170765,4,10,134,0.052427171420276864,0.020123485365184025,0.08200833630480701,0.03416904306868673,-0.0009129862999543547,0.007096026650121227,sledgehammer,ideal,AMBER_354.jpg
358,-0.16092551677874223,2,9,116,-0.07963654398918152,-0.014027530576842966,0.08972037096090216,-0.09926831722259521,-0.015882847112758707,0.010857049640221054,bad_hallu,bad_hallu,AMBER_358.jpg
363,0.2399837729071053,2,13,136,0.11597837880253792,0.038222139857636575,0.06746568121586978,0.041831932961940765,-0.008861944453673668,0.009180137888331821,sledgehammer,ideal,AMBER_363.jpg
365,0.17870288118720054,2,6,90,0.07226592302322388,0.04045267589390278,0.024033278013232077,0.04376482963562012,0.010995257956286272,0.001443924610190684,sledgehammer,sledgehammer,AMBER_365.jpg
367,0.6472966662794352,2,10,106,0.3169732391834259,0.10424206666648388,0.0781329689205527,0.19134750962257385,0.027460313588380813,0.014007913174050082,sledgehammer,sledgehammer,AMBER_367.jpg
