Rank 0307 | id=683 | hallu=1 object=14 len=113 | score=5.661409 | pass_gate=False | case_683_rank_0307_h1_o14.png
Rank 0310 | id=137 | hallu=1 object=5 len=78 | score=5.574171 | pass_gate=False | case_137_rank_0310_h1_o5.png
Rank 0311 | id=717 | hallu=1 object=17 len=111 | score=5.554539 | pass_gate=False | case_717_rank_0311_h1_o17.png
Rank 0312 | id=445 | hallu=1 object=11 len=96 | score=5.452618 | pass_gate=False | case_445_rank_0312_h1_o11.png
Rank 0314 | id=167 | hallu=1 object=3 len=74 | score=5.134190 | pass_gate=False | case_167_rank_0314_h1_o3.png
Rank 0315 | id=117 | hallu=1 object=1 len=79 | score=5.116899 | pass_gate=False | case_117_rank_0315_h1_o1.png
Rank 0316 | id=611 | hallu=1 object=9 len=125 | score=4.991391 | pass_gate=False | case_611_rank_0316_h1_o9.png
Rank 0317 | id=900 | hallu=1 object=10 len=121 | score=4.977243 | pass_gate=False | case_900_rank_0317_h1_o10.png
Rank 0318 | id=522 | hallu=1 object=10 len=85 | score=4.935374 | pass_gate=False | case_522_rank_0318_h1_o10.png
Rank 0319 | id=959 | hallu=1 object=3 len=90 | score=4.870418 | pass_gate=False | case_959_rank_0319_h1_o3.png
Rank 0320 | id=442 | hallu=1 object=7 len=91 | score=4.733595 | pass_gate=False | case_442_rank_0320_h1_o7.png
Rank 0321 | id=705 | hallu=1 object=17 len=90 | score=4.722521 | pass_gate=False | case_705_rank_0321_h1_o17.png
Rank 0322 | id=426 | hallu=1 object=7 len=65 | score=4.687609 | pass_gate=False | case_426_rank_0322_h1_o7.png
Rank 0327 | id=866 | hallu=1 object=8 len=120 | score=4.143139 | pass_gate=False | case_866_rank_0327_h1_o8.png
Rank 0328 | id=16 | hallu=1 object=7 len=74 | score=3.872022 | pass_gate=False | case_16_rank_0328_h1_o7.png
Rank 0330 | id=549 | hallu=1 object=9 len=115 | score=3.849273 | pass_gate=False | case_549_rank_0330_h1_o9.png
Rank 0331 | id=919 | hallu=1 object=10 len=79 | score=3.642506 | pass_gate=False | case_919_rank_0331_h1_o10.png
Rank 0332 | id=832 | hallu=1 object=7 len=64 | score=3.513879 | pass_gate=False | case_832_rank_0332_h1_o7.png
Rank 0333 | id=264 | hallu=1 object=4 len=80 | score=3.392708 | pass_gate=False | case_264_rank_0333_h1_o4.png
Rank 0334 | id=410 | hallu=1 object=6 len=62 | score=3.278241 | pass_gate=False | case_410_rank_0334_h1_o6.png
Rank 0335 | id=4 | hallu=1 object=8 len=92 | score=3.188500 | pass_gate=False | case_4_rank_0335_h1_o8.png
Rank 0337 | id=811 | hallu=1 object=14 len=102 | score=2.892304 | pass_gate=False | case_811_rank_0337_h1_o14.png
Rank 0339 | id=946 | hallu=1 object=4 len=79 | score=1.785983 | pass_gate=False | case_946_rank_0339_h1_o4.png
Rank 0340 | id=2 | hallu=0 object=6 len=67 | score=-inf | pass_gate=False | case_2_rank_0340_h0_o6.png
Rank 0341 | id=3 | hallu=0 object=3 len=67 | score=-inf | pass_gate=False | case_3_rank_0341_h0_o3.png
Rank 0342 | id=5 | hallu=0 object=5 len=69 | score=-inf | pass_gate=False | case_5_rank_0342_h0_o5.png
Rank 0343 | id=7 | hallu=0 object=18 len=92 | score=-inf | pass_gate=False | case_7_rank_0343_h0_o18.png
Rank 0344 | id=8 | hallu=0 object=8 len=88 | score=-inf | pass_gate=False | case_8_rank_0344_h0_o8.png
Rank 0345 | id=9 | hallu=0 object=8 len=111 | score=-inf | pass_gate=False | case_9_rank_0345_h0_o8.png
Rank 0346 | id=10 | hallu=0 object=5 len=79 | score=-inf | pass_gate=False | case_10_rank_0346_h0_o5.png
Rank 0347 | id=11 | hallu=0 object=8 len=98 | score=-inf | pass_gate=False | case_11_rank_0347_h0_o8.png
Rank 0348 | id=15 | hallu=0 object=5 len=83 | score=-inf | pass_gate=False | case_15_rank_0348_h0_o5.png
Rank 0349 | id=17 | hallu=0 object=11 len=88 | score=-inf | pass_gate=False | case_17_rank_0349_h0_o11.png
Rank 0350 | id=18 | hallu=0 object=5 len=94 | score=-inf | pass_gate=False | case_18_rank_0350_h0_o5.png
Rank 0351 | id=20 | hallu=0 object=6 len=100 | score=-inf | pass_gate=False | case_20_rank_0351_h0_o6.png
Rank 0352 | id=21 | hallu=0 object=7 len=74 | score=-inf | pass_gate=False | case_21_rank_0352_h0_o7.png
Rank 0353 | id=27 | hallu=0 object=12 len=122 | score=-inf | pass_gate=False | case_27_rank_0353_h0_o12.png
Rank 0354 | id=28 | hallu=0 object=7 len=108 | score=-inf | pass_gate=False | case_28_rank_0354_h0_o7.png
Rank 0355 | id=29 | hallu=0 object=13 len=108 | score=-inf | pass_gate=False | case_29_rank_0355_h0_o13.png
Rank 0356 | id=30 | hallu=0 object=4 len=84 | score=-inf | pass_gate=False | case_30_rank_0356_h0_o4.png
Rank 0357 | id=31 | hallu=0 object=6 len=74 | score=-inf | pass_gate=False | case_31_rank_0357_h0_o6.png
Rank 0358 | id=33 | hallu=0 object=25 len=129 | score=-inf | pass_gate=False | case_33_rank_0358_h0_o25.png
Rank 0359 | id=34 | hallu=0 object=14 len=105 | score=-inf | pass_gate=False | case_34_rank_0359_h0_o14.png
Rank 0360 | id=37 | hallu=0 object=10 len=111 | score=-inf | pass_gate=False | case_37_rank_0360_h0_o10.png
Rank 0361 | id=38 | hallu=0 object=14 len=121 | score=-inf | pass_gate=False | case_38_rank_0361_h0_o14.png
Rank 0362 | id=40 | hallu=0 object=5 len=101 | score=-inf | pass_gate=False | case_40_rank_0362_h0_o5.png
Rank 0363 | id=41 | hallu=0 object=6 len=112 | score=-inf | pass_gate=False | case_41_rank_0363_h0_o6.png
Rank 0364 | id=42 | hallu=0 object=1 len=138 | score=-inf | pass_gate=False | case_42_rank_0364_h0_o1.png
Rank 0365 | id=43 | hallu=0 object=14 len=115 | score=-inf | pass_gate=False | case_43_rank_0365_h0_o14.png
Rank 0366 | id=44 | hallu=0 object=6 len=105 | score=-inf | pass_gate=False | case_44_rank_0366_h0_o6.png
Rank 0367 | id=45 | hallu=0 object=12 len=78 | score=-inf | pass_gate=False | case_45_rank_0367_h0_o12.png
Rank 0368 | id=46 | hallu=0 object=15 len=84 | score=-inf | pass_gate=False | case_46_rank_0368_h0_o15.png
Rank 0369 | id=48 | hallu=0 object=5 len=91 | score=-inf | pass_gate=False | case_48_rank_0369_h0_o5.png
Rank 0370 | id=51 | hallu=0 object=10 len=102 | score=-inf | pass_gate=False | case_51_rank_0370_h0_o10.png
Rank 0371 | id=52 | hallu=0 object=6 len=71 | score=-inf | pass_gate=False | case_52_rank_0371_h0_o6.png
Rank 0372 | id=53 | hallu=0 object=3 len=58 | score=-inf | pass_gate=False | case_53_rank_0372_h0_o3.png
Rank 0373 | id=55 | hallu=0 object=5 len=56 | score=-inf | pass_gate=False | case_55_rank_0373_h0_o5.png
Rank 0374 | id=56 | hallu=0 object=27 len=120 | score=-inf | pass_gate=False | case_56_rank_0374_h0_o27.png
Rank 0375 | id=57 | hallu=0 object=7 len=71 | score=-inf | pass_gate=False | case_57_rank_0375_h0_o7.png
Rank 0376 | id=58 | hallu=0 object=9 len=89 | score=-inf | pass_gate=False | case_58_rank_0376_h0_o9.png
Rank 0377 | id=59 | hallu=0 object=9 len=109 | score=-inf | pass_gate=False | case_59_rank_0377_h0_o9.png
Rank 0378 | id=60 | hallu=0 object=7 len=69 | score=-inf | pass_gate=False | case_60_rank_0378_h0_o7.png
Rank 0379 | id=61 | hallu=0 object=12 len=111 | score=-inf | pass_gate=False | case_61_rank_0379_h0_o12.png
Rank 0380 | id=62 | hallu=0 object=8 len=110 | score=-inf | pass_gate=False | case_62_rank_0380_h0_o8.png
Rank 0381 | id=64 | hallu=0 object=8 len=79 | score=-inf | pass_gate=False | case_64_rank_0381_h0_o8.png
